Pályázat témaköre,Thematic area,#,Azonosító,Pályázó szervezet neve,A pályázat címe,Project name,Settlement,Város,Project Promoter,Project name and number,Project Summary,Projekt összefoglaló,,Amount (EUR)
Demokrácia és emberi jogok,"democracy and human rights",74,NCTA-2013-3152-A,Liberális Fiatalok Egyesülete,Európai kezdeményezés a médiapluralizmusért és sajtószabadságért– aláírásgyűjtő kampány és rendezvényszervezés,European Citizen’s Initiatve on Media Pluralism and Press Freedom – Signature Gathering and Organization of Related Events,Budapest,Budapest,Association of Liberal Youth,HU05-0066 - European Citizen’s Initiatve on Media Pluralism and Press Freedom – Signature Gathering and Organization of Related Events,"This project supports the European Citizen’s Initiative (ECI) to protect mediapluralism and freedom of media by gathering 16,500 Hungarian signatures. Using this campaign the organization addresses a very current challenge, namely the degradation of the freedom and the pluralism of the media. This tendency can be observed in many European countries, including Hungary. The aim of this ECI is to raise awareness about this issue, and to show to the European political elite that Hungarians and Europeans are ready to stand up for these values. The target groups are the above mentioned and the providers and the consumers of the Hungarian media. Throughout the project the organization cooperates with several Hungarian and European NGOs, thus creating a European network of NGOs campaigning for strengthening democratic values.","A projekt célja a médiapluralizmus és a sajtószabadság védelméért folyó európai polgári kezdeményezés sikerességéhez szükséges, legalább 16 500 magyar állampolgár aláírásának megszerzése. A célcsoport (elsősorban a fiatalabb generációhoz tartozó) magyar állampolgárok, civil aktivisták és a civil szféra tagjai, újságírók, a közösségi oldalak felhasználói, a médiaipar tagjai, kisebbségi csoportok szervezetei. Fontosabb tevékenységek: Online és offline aláírásgyűjtés és marketing, rendezvényszervezés. Sikeres kampány esetén lehetőség nyílik a történelem első határokon átívelő részvételi demokráciát erősítő eszköz, az európai polgári kezdeményezés sikeréhez, a médiapluralizmus európai szintű védelmének kialakításához, az aktív részvétel, az európai kohézió és állampolgárság erősítéséhez, nem utolsó sorban pedig a magyar és európai civil szféra közötti együttműködés fejlesztéséhez.",,€8 016
Demokrácia és emberi jogok,"democracy and human rights",28,NCTA-2013-2371-A,Ökológiai Stúdió Alapítvány,Jogod van! - Helyi közösségek segítése a civil kontroll hatékonyabb érvényesítése érdekében a Nyugat-dunántúli régióban,You have the right! Assisting local communities in enforcing civil control effectively in the Westpannon region,Győr,Győr,Ecological Studio Foundation,HU05-0064 - You have the right! Assisting local communities in enforcing civil control effectively in the Westpannon region,"In the new legal/economic/social conditions Hungarian NGOs are becoming increasingly passive. They do not want or dare to fulfil their commitments concerning civil control. The aim of the project is thus to give assistance to the sector and to strengthen the advocacy and watchdog activities of NGOs so that we can have an open society – sustainable environment; more NGOs can keep their public benefit status, and they can implement their activities for the public good better. The main focu is: rights to association, information rights, participation in local decision-making processes. The project will help learning about the new Nonprofit Act, and help in preparing necessary modifications in the NGOs statutes (consultation, forums). The main target group is the active NGOs in the region, the secondary, the public of the region. The project partner ProNas association will organize a forum for NGOs and local municipalities, PRONAS was fighting against the waste incineration in Heiligenkreuz, the topic of the forum will be this cooperation and lessons learnt.","A megváltozott jogi-gazdasági-társadalmi környezet érzékenyen érinti a civileket. A szervezetek passzivitása megnőtt, a civil kontrollal kapcsolatos feladataikat nem tudják vagy nem merik ellátni. Az Ökológiai Stúdió projektjének célja, hogy a szektornak jogi-szakmai segítéséget nyújtson és erősítse érdekérvényesítő és watchdog szerepét. Kiemelt témáik az egyesülési, információs jogok és részvétel a helyi döntéshozatalban. A projekt során közérdekű adatkikérő kampányt szerveznek, új Üvegzsebkönyvet adnak ki, megvizsgálják és ösztönzik a jogalkotásban, ill. településfejlesztési eljárásban való civil részvételt. A régióban fórumokat, fogadónapokat szerveznek, melyek erősítik a civil érdekérvényesítési, együttműködési formákat. A szervezet szakembereinek tanácsadó szolgálata, Iratminta tára és a civilkontroll.gyor.hu oldal az új jogi környezethez való igazodást, a civil kontroll erősítését segíti.",,€5 950
Demokrácia és emberi jogok,"democracy and human rights",100,NCTA-2013-3741-A,Zöld Pók Alapítvány,A hajléktalanság valódi arcai - tudatformáló és adománygyűjtő kampány,Real faces of homelessness. Awareness raising and community funding campaign.,Budapest,Budapest,Green Spider Organisation,HU05-0061 - Real faces of homelessness. Awareness raising and community funding campaign.,"The aim of the project is to dismantle prejudices against the homeless, and to test community funding as a means of fundraising and solidarity practice in social care. The program is especially relevant because of the policies of the past few years which mean that authorities can now sanction people for being poor. In the present project Green Spider creates a new type of individual support system: people can donate through community funding to support investment into things (training, tools, etc.) to enable the homeless to do something for improving their own situation. A successful community fundraising and its publicity can strengthen solidarity, it can make the methodology of the Van Esély Foundation more accepted. Besides the Város Mindenkié Group (\"The city is for all\") can reach its target audience with a much deeper and more detailed message and Green Spider Foundation can become more practiced in community funding.","A Zöld Pók projektjének célja, a hajléktalansággal kapcsolatos előítéletek lebontása, valamint a közösségi gyűjtésnek, mint forrásteremtésnek és szolidaritási gyakorlatnak a tesztelése a szociális ellátásban. A szervezet az ország egyik legsúlyosabb szociális problémáján keresztül próbálja meg a civilség, az aktivizmus, a szolidaritás és a részvétel eszméit, gyakorlatát közelebb vinni a mindennapi emberhez. A projektben a Van Esély Alapítvány által felkarolt hajléktalan emberek megsegítéséhez teremtenek közösségi gyűjtéssel forrást, s eközben feltárják a hajléktalanság és a szegénység kevéssé ismert dimenzióit. A kampányt a Város Mindenkié csoport akcióival is összehangolják.",,€8 707
Demokrácia és emberi jogok,"democracy and human rights",64,NCTA-2013-2987-A,"Független Újságírók Alapítványa (napi munkában: Független Médiaközpont, CIJ)",Újragondolt nyilvánosság - vitasorozat egy jövőbeni médiaszabályozási keret kialakításáért,Publicness revisited - a dialogue for a future media regulatory framework,Budapest,Budapest,Independent Journalism Foundation,HU05-0063 - Publicness revisited - a dialogue for a future media regulatory framework,"Since 2010, media regulation in Hungary has been criticized at home and abroad for not adequately guaranteeing media pluralism and freedom. These laws were elaborated with no prior consultation with the professional communities and the public, thus they did not build on widely discussed drafts. The Center for Independent Journalism – with the Mérték Standards Media Monitor - facilitates a professional and social dialogue to contribute to a long-term future media regulation based on a strong legitimacy and the European standards of media freedom. Journalists, representatives of media organizations, companies, civil society organizations, researchers and lawyers will discuss draft concepts of key issues - the regulatory authority, regulation of the media market, media literacy and self-regulation, public service media - at public debates and via online forum from October 2013. Based on the conclusions of the closing conference in February 2014, a final concept will be elaborated.","2010 óta a hazai médiaszabályozást számos kritika éri, mivel nem biztosítja kellőképpen a sajtószabadságot és a médiapluralizmus megőrzését. Mi több, a szabályozást előzetes konzultáció nélkül, a szakmai közösség és a nyilvánosság kizárásával alkották meg. A Független Médiaközpont projektjének célja egy új média szabályozási koncepció kialakítása, a nyilvánosság bevonásával. Ennek érdekében a szervezők nyilvános vitákat rendeznek, melyekbe bárki bekapcsolódhat és hozzájárulhat a közös, konszenzuson alapuló koncepció megalkotásához. A résztvevők több témában (közszolgálatiság, piacszabályozás, médiahatóság, médiaoktatás és -önszabályozás) kezdeményeznek és folytatnak szakmai vitát. A szervezők bevonják a munkába a civil szervezetek, köztük a MÉRTÉK Médiaelemző Műhely és a Főszerkesztők Fóruma szakértőit. A végleges koncepció széles szakmai és társadalmi vita mentén jön létre, és remélhetőleg megkerülhetetlen lesz a jövőbeni jogalkotás számára.",,€8 909
Demokrácia és emberi jogok,"democracy and human rights",21,NCTA-2013-2155-A,Magyar Gyógypedagógusok Egyesülete,"\"Semmit rólunk, nélkülünk!\" - Hiszem vagy tudom? Csinálom!",Rights and care for People with Psycho-social Disabilities - Nothing about us without us!,Budapest,Budapest,National Association of Special Teatcher,HU05-0068 - Rights and care for People with Psycho-social Disabilities - Nothing about us without us!,"The project's goals are to extend the services of special education to adults with psycho-social disabilities, to support the prevention of developing psycho-social disabilities in institutions for children with special needs, to enhance the human rights approach within special education activities. The ativities will start with a kick-off conference, followed training/sensitizing 30 persons, coaching and implementing leading mini-projects, to be closed by a conference. Persons with psycho-social disabilities will take active role in planning, implementing and disseminating the project. A network of stakeholders for future innovation will be established. Experience gathered will be transferred to a higher education course, and a concept of providing accessibility for persons with psycho-social disabilities will be used to generate policy actions.","A főpályázó a tágan értelmezett gyógypedagógia szakmai és érdekvédelmi szervezete. Foglalkozik a fogyatékos gyermekek és felnőttek oktatásával, komplex rehabilitációjával, munkavállalásuk és társadalmi integrációjuk elősegítésével, emberi jogaik érvényesítésével. A projekt során 30 személyt képeznek ki, és készítenek fel mikroprojektek végrehajtására, melyek a pszichoszociális fogyatékosságok és az emberi jogok témájával foglalkoznak. Céljuk, hogy a gyógypedagógiai tevékenység terjedjen ki a pszichoszociális fogyatékossággal élő felnőttekre; váljon részévé a pszichoszociális fogyatékosság kialakulásának megelőzése a sajátos nevelési igényű tanulók intézményeiben, és erősödjön a gyógypedagógiai tevékenységben az emberi jogi megközelítés.",,€9 999
Demokrácia és emberi jogok,"democracy and human rights",96,NCTA-2013-3652-A,Prospect Műhely Alapítvány,Fix My Street - Magyarország,Fix My Street - Hungary,Budapest,Budapest,Prospect Hungary Foundation,HU05-0065 - Fix My Street - Hungary,"FixMyStreet is a virtual forum where citizens can report their problems that fall under the competence of the local municipality or other local authorities. In the project Prospect Foundation adapts this method that works with great succes in several countries. The first immediate goal is to create a more liveable, cleaner living environment, second one is to raise awareness of responsible authorities and to increase their performance. The project contributes to the strengthening of democracy and acceptance of democratic values. Due to project's activities the functioning of state institutions will become more transparent and more predictable, as well as the idea of good governance will grow and its practices become more common.","A FixMyStreet egy olyan virtuális fórum, melyen az állampolgárok bejelenthetik az önkormányzat vagy egyéb helyi hatóság hatáskörébe és illetékességébe tartozó problémáikat, melyek megjavítása vagy megszüntetése élhetőbb és rendezettebb lakókörnyezet kialakításához járul hozzá. A Prospect Műhely Alapítvány e számos országban sikeresen működő model hazai átültetésére és a helyi viszonyokra való adaptálására vállalkozik. A projekt eredményeképpen várható, hogy az állampolgárokban tudatosul, hogy van lehetőségük a saját sorsuk alakítására és érdekeik védelmére - ezáltal erősödik a demokratikus intézményrendszerbe vetett bizalom és nő a demokratikus értékek melletti elkötelezettség is.",,€9 973
Demokrácia és emberi jogok,"democracy and human rights",86,NCTA-2013-3391-A,Szivárvány Misszió Alapítvány,Előbújás napi rendezvények megszervezése,Coming Out Day Event Series,Budapest,Budapest,Rainbow Mission Foundation,HU05-0062 - Coming Out Day Event Series,"In Hungary, lesbian, gay, bisexual, transgender, and queer (LGBTQ) people and the issues they face are shrouded in invisibility. The oppression and discrimination this community faces, both on structural and everyday level, can, in part be traced back to this lack of visibility. The goal of the project is to hold a Coming Out Day event series in Budapest and with help of other organizations in several other cities in order to increase the visibility of the LGBTQ community in Hungary, as well as raise awareness among members of the mainstream society and empower LGBTQ people to come out to their families, friends, and colleagues. A video campaign, workshops, community events, and pamphlets will spread the message of importance of living a more open life as an LGBTQ person. The project is part of an attempt to create a safe social and political environment in which LGBTQ people can live their lives freely and fully, without pressures of structural and everyday discrimination.","A projekt célja egy olyan előbújás nap megszervezése Budapesten, illetve lehetőség szerint vidéki városokban, mely növeli a magyarországi leszbikus, meleg, biszexuális, transznemű és queer (LMBTQ) közösség láthatóságát, és előmozdítja a közösséget érintő kérdések előtérbe helyezését, valamint diszkriminációjuk elleni hatékony fellépést. Mivel az előbújás maga fontos eszköze az LMBTQ közösség társadalmi elfogadásának, szeretnék, ha Magyarországon is ünnepelni lehetne a Nemzetközi Előbújás Napját októberben. A legtöbb LMBTQ esemény a fővárosban történik, ezért is fontos, hogy a programok több vidéki nagyvárosba is eljussunk, és a vidéken élő LMBTQ közösségeket is meg tudják szólítani, erőt adjanak nekik is az előbújáshoz, és a közösséghez tartozáshoz. Ezen kívül cél a többségi társadalom érzékenyítése és bevonása is, amely elengedhetetlen a hosszú távú társadalmi elfogadás érdekében. A kampány során a Szivárvány misszió videókat, kiadványokat is készít, valamint beszélgetéseket és könyvvásárt is szervez.",,€4 158
Demokrácia és emberi jogok,"democracy and human rights",49,NCTA-2013-2736-A,Stúdió „K” Alapítvány,A Korrupció című produkció vidéki forgalmazása,Democracy Experience,Budapest,Budapest,"Studio \"K\" Foundation",HU05-0067 - Democracy Experience,"The play bearing the title “Corruption” presents one of the most sensitive and most serious social problems of today’s day and age. The production uses forum theatre instruments that gives the audience an experience and allows them to participate in the production. The dynamic line of action evolving offers young people (special attention on rural areas) the opportunity to feel that they themselves decide their own destiny. The activities are the performance and “de-briefing” discussion after, finding civil partners and “local people”. Promoting their cooperation opens up new horizons by embarking from a special artistic production. The expected results are that students from universities in the countryside will spread the word about experiences like this, civic self-consciousness can be explored, active engagement develops and social responsibility will increase.","A Korrupció című előadás napjaink egyik legérzékenyebb és egyben legsúlyosabb társadalmi problémáját dolgozza fel. A fórumszínházi eszközökkel is élő produkció nem csak betekintést, hanem belépést is enged a néző számára, célja pedig ennél is közvetlenebb: a személyes bevonás. A konkrét esetek bemutatása és az érintettség felfedezése minden néző számára újszerű élményt jelent. Az ebből kinövő aktivizálódás leginkább a fiatalok számára nyújt lehetőséget, hogy azt érezhessék, maguk döntenek a sorsuk felől. Sokszorosan érvényes ez a vidéki fiatalságra, akik még inkább a média által elhomályosított közegben mozognak, a legtöbb esetben a saját jogaikkal sincsenek tisztában. Az előadás, az azt követő „feloldó” beszélgetés, a civil szervezetek és „helyi emberek” megtalálása, együttműködésük elősegítése új távlatokat nyithat meg egy különleges művészi produkcióból kiindulva. A vidéki egyetemek fiataljai pedig spóraszerűen terjeszthetnek egy ehhez hasonló tapasztalatot.  Sikeres projekt megvalósítás esetén kialakul a civil öntudat, fejlesztődik az aktivizálódás, és nő a társadalmi felelősség vállalás.",,€9 902
Demokrácia és emberi jogok (Makró),"democracy and human rights",108,NCTA-2013-4155-M1,Asimov Alapítvány,Az atlatszo.hu közpénzügyi watchdog módszertanának továbbfejlesztése és továbbadása...,"Follow the taxpayer's money: transferring know-how from atlatszo.hu watchdog NGO to non-profit and non-governmental organisations, political blogs and activist networks",Budapest,Budapest,Asimov Foundation,"HU05-0085 - Follow the taxpayer's money: transferring know-how from atlatszo.hu watchdog NGO to non-profit and non-governmental organisations, political blogs and activist networks","The project aims to promote the KiMitTud.org freedom of information request generator (based on alaveteli.org) and the watchdog methodology developed by 'atlatszo.hu' investigative journalism NGO to members of civil society such as independent local news portal sites, weblogs, activist Facebook communities and specialist NGOs, and provide them research assistance and legal support in their court procedures to obtain public data withheld by state-run institutions. As a result, the organisations will have powerful tools to transfer a methodology capable to generate community involvement and civic activism. Organisations receiving this methodology will become more effective and successful in supporting Hungarian citizens’ rights to informed decision making and to enforce freedom of information principles on state-run institutions. The project promoter will provide hands-on workshops, substantial professional mentoring and extra publicity to the selected causes in collaboration with atlatszo.hu during the project.","A projekt célja, hogy a KiMitTud közérdekű adatigénylő portált mint lehetőséget szélesebb körben ismertté tegyék és az atlatszo.hu által kialakított közösségi watchdog módszertant átadják helyi civilek által működtetett független hírportálok, közéleti blogok, aktivista Facebook-közösségek, specialista civil szervezetek részére. Emellett újságírói kutatásokat végeznek és jogsegélyt nyújtanak adatigényléses perek során a partner szervezeteknek. A projekt eredményeként az Asimov Alapítványnak hatékony eszközei lesznek egy közösségi aktivitást generáló módszertan sikeres továbbadására. A bevont szervezetek az elsajátított módszertan segítségével hatékonyabban tudják majd segíteni a nagyközönség és az állampolgárok informált döntéshozatalhoz való jogának érvényesülését, a közérdekű adatok nyilvánosságát. A projekt során a workshopok mellett tényfeltáró szakmai-mentori támogatást, és a felkarolt ügyeknek extra pubicitást is biztosítanak az atlatszo.hu oldalon.",,€105 890
Demokrácia és emberi jogok (Makró),"democracy and human rights",128,NCTA-2013-4196-M1,Magyar Drogprevenciós és Ártalomcsökkentő Szervezetek Szövetsége,Dro§osultság – egy kirekesztett társadalmi csoport kirekesztett segítőinek érdekképviselete,"\"Drogosultság\" - Repesenting the Interest of the Discriminated Helpers of a Discriminated Social Group (drug users)",Budapest,Budapest,Hungarian Association of NGOs for Drug Prevention and Harm Reduction,"HU05-0096 - \"Drogosultság\" - Repesenting the Interest of the Discriminated Helpers of a Discriminated Social Group (drug users)","Social marginalisation of drug-related problems is worsened by current unfavorable policy processes (e.g. lack of communication on the merits of programmes with decision makers, drying up of public financing). The aim of the project is to enable the MADÁSZ and the involved NGOs to adapt to the adverse circumstances and proactively represent their interests. As a result of the project, the proactive adaptation and social embeddedness of the participants will be improved, the context of the policy in the field will be changed with a move toward a more dominant governmental involvement with respect to professional aspects. As a direct result, competencies of the NGOs will develop, the professionalism of their operation will grow, and more effective ways of representation of interests emerge.","A hazai politikai folyamatok hatására a kábítószerrel kapcsolatos kérdések egyre rosszabb megítélés alá esnek (pl. nincs érdemi kommunikáció a döntéshozókkal, a költségvetési források teljesen eltűnnek). A projekt célha, hogy a MADÁSZSZ és a résztvevő 20 drogszakmai civil szervezet alkalmazkodni tudjon a kedvezőtlen körülményekhez és kiálljanak érdekeikért. Eredményeképpen a szakmapolitikai kontextus megváltozása, és a szakmai szempontokat tiszteletben tartó erősebb és célzottabb kormányzati szerepvállalás várható.",,€110 494
