Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0060-Z,Tabulapláza Alapítvány,Tabulapláza Foundation,Helyi érték napok a környezetünk megóvásáért,Local value days for the protection of our environnment,The Local Value day events of the Foundation aimed at changing the consumption patterns of citizens living in Nyíregyháza and it's region. The organization held trade fairs to promote environmental friendly products of local producers.,"A Tabula Pláza Alapítvány Helyi Érték Nap rendezvénysorozata havi rendszerességgel jelentkező vásárral egybekötött közösségépítő program, melynek célja a helyi környezetbarát termékek népszerűsítése és a fogyasztási szokások megváltoztatása. Célcsoport egyrészt a város lakossága, másrészt a helyi termelők és kézművesek. A programba helyi termelők mellett, helyi civil szervezeteket, települési önkormányzatokat és médiát vonják be. Eredményként az várható, hogy a vásárlói szokások változnak, a fogyasztás jelentősebb mértékben a helyi termékek felé irányul és a helyi piac erősödik.",Szabolcs-Szatmár-Bereg,1 152 500,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0071-Z,Szövetség az Élő Tiszáért Egyesület,Alliance for Living Tisza Association,Fenntartható helyi gazdasági kezdeményezések érdekképviseletének megteremtése és piaci életképességük javítása,Developing advocacy for sustainable local economic initiatives and improving their economic viability,"The alliance has been working to support environmentally friendly farming and local food processing for several years. They help local farmers to access the market and advocate for more enabling and reasonable legal regulations in the field of local production and sales. In this project the organization created an association with 22 founding members to represent the interests of small scale producers that will lobby for sustainable, local production methods. Besides they provide consultation service and create and on-line knowledge base for local producers, as well as monitor the implementation of the branding system developed earlier.","A projekt célja környezetkímélő gazdálkodási formák kialakulásához való hozzájárulás, az ezekhez kapcsolódó helyi feldolgozási, értékesítési rendszerek, rövid értékesítési láncok elterjedésének ösztönzése a jogszabályrendszer ésszerűsítésével, és a helyi termelők, szolgáltatók piacra jutásának elősegítésével. A Szövetség létrehoz egy kistermelői érdekképviseleti szövetséget, mely a fenntartható, kisléptékű gazdálkodás érdekében végez lobbitevékenységet. A projekt keretén belül a kistermelőket gyakorlati tanácsadással, és internetes tudásbázissal is segíti a Szövetség. Szakjogászi hálózat működik a helyi gazdaságfejlesztési kezdeményezések érdekében. Az eredmények elősegítik a kistermelők piacra jutását, és ésszerűbbé teszik a működésüket szabályozó jogi rendszert.",Jász-Nagykun-Szolnok,19 232 928,,Nagykörű
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0081-S,Dialóg Egyesület,Association Dialogue,"TÉRerő - közösségi terek, folyamatok és új szociális szolgáltatások az Avason","Field - community spaces, processes and new social services at Avas","The association has generated community meetings and programs continously for the last 3 years. As a part of the ""Avas community building program"" this project supports the inhabitants of the Avas housing estate through empowerment and community social services. Local social and education instiutions, churches and civic organizations are all cooperating in the program. An important goal is to utilize the labour opportunities that often stay hidden in society to solve social work and local problems. Another goal is to enable local young people to learn the basics of community work by raising their attention through actions based on their own decision. The project builds on the voluntary work of locals that adds up from their local knowledge, competences and the expansion of those. They operate clubs for the residents giving special attention to mental health care and debate groups. With the trainings Dialóg helps the community develop its own experts, who are well-prepared to support community initiatives, and help them develop their skills by promoting new methods of social work. The long-term goal of the project is to link active local members with institutions to form a regional and professional network.","A Dialóg Egyesület 3 éve folyó tevékenysége során az Avas lakótelepen folyamatos generálója és szereplője a közösségi találkozóknak, programoknak. A kisebb forrásokból és főként önkéntes munkával működő „Avasi közösségfejlesztő program” részeként ez a projekt az Avason működő szociális és oktatási intézmények, egyházak és civil szervezetek együttműködésével a lakótelepen élőket támogatja közösségi szociális szolgáltatásokkal. A program a helyi lakosok önkéntes munkájára épít, ami a helyi tudásokból, kompetenciákból s azok bővítéséből adódik össze. Az Avason élők számára klubokat működtet az Egyesület, odafigyelve a mentális gondozásra is, és külön lehetőséget adva a párbeszédköröknek. Fontos cél, hogy a program lehetővé tegye az avasi fiatalok számára a közösségi munka alapjainak elsajátítását, felhíva ezzel a figyelmüket a helyben való, saját elhatározáson és döntéseken alapuló cselekvésre, és ezáltal a pozitív minták tudatosítására is. A célok közé tartozik továbbá a közösségben rejlő és a mai világban gyakran rejtve maradó erőforrások kihasználása társadalmi feladatok, helyi problémák megoldására. Hosszú távon várható, hogy a helyi aktivisták kapcsolódnak az intézményekhez, és így egy regionális hálózatot alkotnak majd.",Borsod-Abaúj-Zemplén,21 667 320,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0105-Z,Komlóstetői Kerékpáros Sport Klub,Cyclists Sport Club at Komlóstető,Vasgyári Recooltivációs mintaprojekt,"Model ""re-cooltivation"" project in the Iron Factory","In this project the organization highlights some aspects of how to solve an environmental problem, which is very common in the whole world: the utilization of empty industrial areas and buildings without any functions, focusing on the revitalization of Miskolc’s polluted ex-industrial area. Their aim is to reopen this area, to give new functions to the buildings and show new opportunities. The asssociation would like to prevent future problems as well that would arise from the damaged buildings. They have personal experinece on this topic as they were using and giving new function to an empty screw factory 8 years ago. During the project they highlight the problems to the people, decision makers and all other stakeholders and motivate them to participate in creating a recultivation strategy. By presenting good examples they would show the youth and decision makers how to recycle and renew buildings in a sustainable way.","Az egyesület Miskolcon egy olyan környezeti problémára próbál megoldást nyújtani a projekt keretein belül, ami gyakori jelenség szerte a világon: az üresen álló ipartelepek a városok szívében környezeti károk és szennyezettség okozói egyrészt a régi ipari múltból eredendően, másrészt a gondatlanságnak és az enyészetnek köszönhetően a jövőre is veszélyt jelentenek. A Sport Klub 2004-ben beköltözött és otthonra talált egy elhagyatott, ódon ipari csarnokba. A 4900 m2-es volt csavargyári épület mára több civil szervezetnek teremt közösségi teret, és nyújt számos lehetőséget. A Ruhr-vidékről hozott tapasztalatok segítségével egy rehabilitációs és revitalizációs folyamat elindítása a cél, amellyel az épített környezet elpusztulását és ezáltal egyéb környezeti károk keletkezését akadályozzák meg a fenntartható újrahasznosítás jegyében. A Factory Aréna falai között az ifjúság aktív bevonásával folytatják a gyár egyes részeinek átalakítását. Az egyesület ismerteti a városlakókkal a környezeti problémákat és egy stratégiát dolgoz ki az egész gyárterület hasznosítására annak érdekében, hogy a várossal és több civil szervezettel együttműködve, minél nagyobb teret és több épületet tudjon ""megmenteni"", és új lehetőségekkel, funkciókkal felruházni a jövő generációi számára.",Borsod-Abaúj-Zemplén,15 371 334,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0123-S,Akadálymentes tanulásért Alapítvány,Foundation for Accessible Learning,Bújj a bőrömbe!,Try it in my place!,"With the ""Come under my skin"" project the foundation aims at facilitaing the integration of handicapped young people. As part of the project an invisible exhibition is set up in technical schools and at other venues. In the project healthy and disabled young people work together with vocational and special education teachers.","A „Bújj a bőrömbe” program egy interaktív mobil kiállítás 14-25 éves szakmunkás tanulók számára. A város, illetve a megye iskoláinak meghívására a kiállítást a vendéglátó iskolákban, illetve más intézményekben, sportcsarnokban, bevásárlóközpontokban rendezik be. A kiállítás célja, hogy a látó társadalom megtapasztalhassa, milyen vakként élni.",Szabolcs-Szatmár-Bereg,1 705 000,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0127-S,Bihar Közösségeiért Alapítvány,Foundation for Communities of Bihar,Mindennapi praktikák - Esély a felzárkózásra,Everyday practices - chance to catch up,"In this project the foundation supports disadvantaged people to enter or get back on the labour market. After a complex, personal survey they offer trainings in various topics from communication through job search to improving self-knowledge.","A projekt célja, a területi és társadalmi hátrányok következményeinek, a szegénység mélyülésének, újratermelődésének mérséklése, a hátrányos helyzetben élők integrációjának előmozdítása a szociális tevékenység és a közösségfejlesztés eszközeivel. Tartós álláskeresők, alacsony iskolai végzettségűek, GYED-en/GYES-en lévők, 50 év felettiek, nagycsaládosok, egyedül álló szülők, romák, megváltozott munkaképességűek, fogyatékkal élők, leszázalékolásból kikerülők, pályakezdők részére végeznek állapotfelmérést, tanácsadást, tréningeket. Fontos cél, hogy a hátrányos helyzetben élő célcsoport tagjai egy fejlődési folyamaton menjenek át: énképükben pozitív változás jöjjön létre, munkára kész állapotba kerüljenek, a munka iránt motiválhatóvá váljanak, jövőképben tudjanak gondolkodni, munkaerőpiaci értékük, önbecsülésük és önálló életvezetési készségeik növekedjenek, élethelyzetük javuljon.",Hajdú-Bihar,24 066 900,, Berettyóújfalu
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0137-S,ÉLETFA Segítő Szolgálat Egyesület,Lifetree Aid Service Association,Együtt Hajdúhadház közösségért,Together for the community of Hajdúhadház,"The goal of Lifetree's project was to start a community process in Hajdúhadház to support the integration of the three thousand Roma inhabitants. The target groups of the project are all Roma and and non-Roma residents who can and are open to participate: parents, grandparents, youth, small enterprisers, local decision-makers, professionals of local institutions (kindergartens, schools, social services, child welfare and cultural institutions), leaders and active members of churches. The community interventions are carried out both among the Roma and non-Roma population. The main activities: training and work of community workers; coordination of the social service system; generating community activities for young people; generating good contacts between Roma and non-Roma; mobilizing local sustainable economic resources. The program involves community organizers, social workers, helpers of youth, teachers, media specialsts and students.","A projekt célja egy közösségi, önszerveződő, a helyi erőforrásokat mobilizáló, önfenntartó folyamat elindítása Hajdúhadházon a településen élő háromezer cigány lakos közösségi integrációja érdekében. A célcsoportba tartoznak a helyi cigány és nem cigány lakosság aktivizálható tagjai, ezen belül szülők, nagyszülők, fiatalok, gazdálkodók, továbbá a helyi döntéshozók, az intézményrendszer (óvodák, iskolák, szociális-, gyermekjóléti- és kulturális intézmények) szakemberei, egyházak vezető személyiségei és aktív tagjai. A közösségépítésen túl cél a helyi fenntartható gazdasági erőforrások mozgósítása is. A programba közösségfejlesztők, szociális munkások, ifjúságsegítők, pedagógusok, médiaszakemberek, önkéntes egyetemi hallgatók kerülnek bevonásra, melynek végrehajtása során együttműködnek a helyi önkormányzattal, intézményrendszerrel, egyházakkal és civil szervezetekkel is.",Hajdú-Bihar,23 057 400,,Debrecen
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0142-S,Humán Fejlesztők Kollégiuma,Collegium of Human Developers,"Halló, itt vagyunk!","Hello, here we are!","The goal of the program on one hand is to help the deaf and deaf-mute people in leading a self-supporting life-style and their better integration, by cultural, training and equal opportunity programs. On the other hand to help family members and volunteers living and working with these people to understand better the problems of deaf and deaf-mute people. Some of the main activities: integrated play-room for children living with deaf or deaf-mute family member(s); legal, health and psychological counselling for deaf and deaf-mute parents with sign language translation; A1 level sign language training for university students; visual, musical and movement activities for deaf and deaf-mute youngsters and adults.","A program célja, hogy a hallássérült emberek számára kulturális, képzési, esélyegyenlőségi programokon keresztül biztosítsa egyrészt az önálló életvitel és a társadalmi integráció lehetőségét, másrészt az őket körülvevő ép családtagokat és önkénteseket jelnyelvi képzés, csoportfoglalkozások, táborok megvalósításán keresztül érzékennyé tegye a hallássérült emberek problémai iránt, illetve érdekeltté tegye őket ezen problémák megoldásában. A projekt során létrejön egy integrált játszóház a hallássérült családtaggal együtt élő családok gyermekei számára, jogi, egészségügyi, pszichológiai tanácsadás kapnak a szülők, 60 órás, A1 szintű jelnyelvi képzés indul egyetemisták számára, továbbá vizuális, zenei és mozgásművészeti foglalkozásokat szerveznek hallássérült fiatalok és felnőttek számára.",Hajdú-Bihar,16 759 800,,Debrecen
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0148-S,Kisebbségi Közösségi Közhasznú Egyesület,Minority Community Public Benefit Association,ROMA Centrum Hajdúhadházon a hátrányos helyzetű rétegek segítésére,ROMA Center Hajdúhadház to help disadvantaged people,"The association aims at helping families who face serious marginalization and social exclusion in Hajdúhadháza. Main tools of the project are social work (individual case managements, groups, communities) and other human services for the the target groups: residents with low education or non-marketable qualification.","A program alapvető célja a Hajdúhadházon élő, súlyos leszakadással, társadalmi kirekesztődéssel küzdő, alacsony iskolai végzettséggel vagy nem piacképes szakmával rendelkező emberek segítése elsősorban a szociális munka és más humánszolgáltatások eszközeivel.",Hajdú-Bihar,2 825 600,,Hajdúhadház
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0156-S,"""Jót s Jól"" a Szatmári Kistérségben Egyesület",„Jót s Jól” Association of Szatmár Microregion,"Méltósággal segíteni, jót jól tenni","Helping with dignity, good well done","The association offers psychiatric counselling and now they create a counselling office in Géberjén village where a psychiatrist, psychologist ans social worker will offer their services to the locals for free. They also create an online service where people can contact and ask professionals and several professional material are available, too.","A projekt célja a pszichiátriai problémákkal, betegségekkel küzdő emberek megfelelő szakmai segítségnyújtásához való közvetlen hozzáférés biztosítása egy olyan kistérségben, ahol a lakosság megközelítőleg 10%-a küzd valamilyen pszichiátriai problémával mindenféle segítség nélkül. A projekt keretében Géberjénben pszichiátriai tanácsadó irodát alakítanak ki, emellett indul egy honlap, ahol a nap 24 órájában lehet kérdést intézni a szakemberekhez, valamint számos – a pszichiátria kérdéskörébe tartozó – szakmai anyag is megtalálható.",Szabolcs-Szatmár-Bereg,17 310 870,,Géberjén
